,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,arrival_datetime
0,INN00001,2,0,1,2,Meal Plan 1,0,Room_Type 1,224,Offline,0,0,0,65.0,0,Not_Canceled,2017-10-02
1,INN00002,2,0,2,3,Not Selected,0,Room_Type 1,5,Online,0,0,0,106.68,1,Not_Canceled,2018-11-06
2,INN00003,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,60.0,0,Canceled,2018-02-28
3,INN00004,2,0,0,2,Meal Plan 1,0,Room_Type 1,211,Online,0,0,0,100.0,0,Canceled,2018-05-20
4,INN00005,2,0,1,1,Not Selected,0,Room_Type 1,48,Online,0,0,0,94.5,0,Canceled,2018-04-11
5,INN00006,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,Online,0,0,0,115.0,1,Canceled,2018-09-13
6,INN00007,2,0,1,3,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,107.55,1,Not_Canceled,2017-10-15
7,INN00008,2,0,1,3,Meal Plan 1,0,Room_Type 4,83,Online,0,0,0,105.61,1,Not_Canceled,2018-12-26
8,INN00009,3,0,0,4,Meal Plan 1,0,Room_Type 1,121,Offline,0,0,0,96.9,1,Not_Canceled,2018-07-06
9,INN00010,2,0,0,5,Meal Plan 1,0,Room_Type 4,44,Online,0,0,0,133.44,3,Not_Canceled,2018-10-18
10,INN00011,1,0,1,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,85.03,0,Not_Canceled,2018-09-11
11,INN00012,1,0,2,1,Meal Plan 1,0,Room_Type 4,35,Online,0,0,0,140.4,1,Not_Canceled,2018-04-30
12,INN00013,2,0,2,1,Not Selected,0,Room_Type 1,30,Online,0,0,0,88.0,0,Canceled,2018-11-26
13,INN00014,1,0,2,0,Meal Plan 1,0,Room_Type 1,95,Online,0,0,0,90.0,2,Canceled,2018-11-20
14,INN00015,2,0,0,2,Meal Plan 1,0,Room_Type 1,47,Online,0,0,0,94.5,2,Not_Canceled,2017-10-20
15,INN00016,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,Online,0,0,0,115.0,1,Canceled,2018-06-15
16,INN00017,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,Offline,0,0,0,96.0,0,Not_Canceled,2017-10-05
17,INN00018,2,0,1,3,Not Selected,0,Room_Type 1,1,Online,0,0,0,96.0,1,Not_Canceled,2017-08-10
18,INN00019,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,65.0,0,Canceled,2017-10-30
19,INN00020,2,0,1,0,Meal Plan 1,0,Room_Type 1,12,Offline,0,0,0,72.0,0,Not_Canceled,2017-10-04
20,INN00021,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,65.0,0,Canceled,2017-10-30
21,INN00022,1,0,0,1,Meal Plan 1,0,Room_Type 1,122,Corporate,0,0,0,67.0,0,Not_Canceled,2018-11-25
22,INN00023,2,0,2,4,Meal Plan 1,0,Room_Type 1,2,Offline,0,0,0,85.0,0,Not_Canceled,2018-03-20
23,INN00024,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105.0,0,Not_Canceled,2018-10-13
24,INN00025,2,0,2,1,Not Selected,0,Room_Type 1,130,Online,0,0,0,94.5,1,Not_Canceled,2018-05-22
25,INN00026,2,0,0,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,114.3,1,Not_Canceled,2018-04-28
26,INN00027,2,0,1,1,Meal Plan 1,0,Room_Type 1,60,Offline,0,0,0,65.0,0,Not_Canceled,2017-09-21
27,INN00028,1,0,0,2,Meal Plan 1,0,Room_Type 4,2,Aviation,0,0,0,110.0,0,Canceled,2018-05-19
28,INN00029,1,0,1,2,Meal Plan 1,0,Room_Type 1,37,Online,0,0,0,37.33,0,Canceled,2017-11-06
29,INN00030,2,0,0,2,Meal Plan 2,0,Room_Type 1,56,Offline,0,0,0,82.0,0,Not_Canceled,2017-09-17
30,INN00031,2,0,1,1,Meal Plan 1,0,Room_Type 4,3,Online,0,0,0,177.5,1,Not_Canceled,2017-09-19
31,INN00032,2,0,2,2,Meal Plan 1,0,Room_Type 1,107,Online,0,0,0,87.5,1,Not_Canceled,2018-11-13
32,INN00033,0,2,0,3,Meal Plan 1,0,Room_Type 2,56,Online,0,0,0,82.44,1,Not_Canceled,2018-12-07
33,INN00034,2,0,0,1,Not Selected,0,Room_Type 1,2,Online,0,0,0,69.5,1,Not_Canceled,2018-01-09
34,INN00035,2,0,0,2,Meal Plan 1,0,Room_Type 1,72,Offline,0,0,0,85.5,0,Not_Canceled,2018-10-07
35,INN00036,2,0,0,1,Not Selected,1,Room_Type 1,23,Online,0,0,0,115.0,1,Not_Canceled,2018-04-27
36,INN00037,1,0,2,1,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,81.0,0,Canceled,2018-06-19
37,INN00038,2,0,0,1,Meal Plan 1,0,Room_Type 1,289,Offline,0,0,0,67.0,0,Not_Canceled,2017-10-17
38,INN00039,2,0,2,3,Not Selected,0,Room_Type 1,247,Online,0,0,0,63.75,0,Canceled,2018-11-19
39,INN00040,2,0,2,1,Meal Plan 1,0,Room_Type 4,186,Online,0,0,0,121.8,1,Canceled,2018-07-30
40,INN00041,2,0,0,4,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,93.6,2,Not_Canceled,2018-11-01
41,INN00042,2,0,0,2,Meal Plan 1,0,Room_Type 1,35,Online,0,0,0,102.0,1,Not_Canceled,2018-06-21
42,INN00043,3,0,2,1,Meal Plan 1,0,Room_Type 1,96,Online,0,0,0,121.8,1,Not_Canceled,2018-04-10
43,INN00044,2,0,1,1,Not Selected,0,Room_Type 1,41,Online,0,0,0,98.1,1,Canceled,2018-06-27
44,INN00045,2,0,0,4,Meal Plan 1,0,Room_Type 4,55,Offline,0,0,0,60.0,1,Not_Canceled,2017-11-18
45,INN00046,2,0,0,3,Meal Plan 1,0,Room_Type 1,146,Offline,0,0,0,75.0,0,Not_Canceled,2017-12-29
46,INN00047,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,0,0,0,73.0,0,Not_Canceled,2017-11-20
47,INN00048,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104.0,0,Not_Canceled,2018-04-06
48,INN00049,2,0,0,4,Not Selected,0,Room_Type 1,57,Online,0,0,0,79.2,1,Not_Canceled,2018-11-01
49,INN00050,1,0,1,3,Meal Plan 1,0,Room_Type 4,7,Online,0,0,0,125.8,2,Not_Canceled,2018-12-29
50,INN00051,1,0,2,5,Not Selected,0,Room_Type 1,124,Online,0,0,0,87.95,0,Not_Canceled,2018-05-30
51,INN00052,2,0,2,2,Meal Plan 2,0,Room_Type 1,169,Online,0,0,0,106.0,0,Canceled,2018-04-22
52,INN00053,1,0,1,2,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,136.67,1,Not_Canceled,2018-05-16
53,INN00054,2,0,0,4,Meal Plan 1,0,Room_Type 4,51,Offline,0,0,0,60.0,1,Not_Canceled,2017-11-11
54,INN00055,2,0,1,0,Not Selected,0,Room_Type 1,13,Online,0,0,0,89.0,2,Not_Canceled,2018-06-13
55,INN00056,2,0,1,3,Meal Plan 1,0,Room_Type 1,100,Online,0,0,0,136.0,1,Not_Canceled,2018-05-19
56,INN00057,2,0,0,1,Not Selected,0,Room_Type 1,139,Online,0,0,0,94.5,1,Not_Canceled,2018-07-28
